id,title,runtime,budget,revenue,vote_average,vote_count,genres,studios,profit,profit_margin
12,Finding Nemo,100,94.0,940.335536,3.86,33887,Animation,Pixar Animation Studios,846.335536,0.9000356825821374
13,Forrest Gump,142,55.0,677.945399,4.05,91921,Romance,Paramount Pictures,622.945399,0.9188725226528162
13,Forrest Gump,142,55.0,677.945399,4.05,91921,Comedy,Paramount Pictures,622.945399,0.9188725226528162
13,Forrest Gump,142,55.0,677.945399,4.05,91921,Drama,Paramount Pictures,622.945399,0.9188725226528162
14,American Beauty,122,15.0,356.296601,4.13,57879,Drama,DreamWorks SKG,341.296601,0.9579002439038142
16,Dancer in the Dark,140,12.8,40.031879,3.84,4571,Drama,Canal+,27.231879000000003,0.6802548289077313
22,Pirates of the Caribbean: The Curse of the Black Pearl,143,140.0,655.011224,3.81,36337,Action,Walt Disney Pictures,515.011224,0.7862632045523543
58,Pirates of the Caribbean: Dead Man's Chest,151,200.0,1065.659812,3.47,15079,Action,Walt Disney Pictures,865.6598120000001,0.8123228466083884
59,A History of Violence,96,32.0,60.740827,3.63,5082,Drama,New Line Cinema,28.740827000000003,0.47317147986806307
70,Million Dollar Baby,132,30.0,216.763646,3.84,13901,Drama,Warner Bros.,186.763646,0.8616004087696514
73,American History X,119,20.0,23.875127,4.15,31887,Drama,New Line Cinema,3.875126999999999,0.1623081209159641
74,War of the Worlds,116,132.0,591.739379,3.13,9927,Science Fiction,DreamWorks SKG,459.739379,0.7769288225788333
74,War of the Worlds,116,132.0,591.739379,3.13,9927,Science Fiction,Paramount Pictures,459.739379,0.7769288225788333
76,Before Sunrise,105,2.5,5.535405,3.89,6823,Romance,Warner Bros.,3.035405,0.5483618633144277
76,Before Sunrise,105,2.5,5.535405,3.89,6823,Drama,Warner Bros.,3.035405,0.5483618633144277
78,Blade Runner,117,28.0,33.139618,4.12,37152,Science Fiction,Warner Bros.,5.139617999999999,0.15508983839222285
78,Blade Runner,117,28.0,33.139618,4.12,37152,Drama,Warner Bros.,5.139617999999999,0.15508983839222285
85,Raiders of the Lost Ark,115,18.0,389.925971,4.13,59693,Action,Paramount Pictures,371.925971,0.9538373913544733
87,Indiana Jones and the Temple of Doom,118,28.0,333.0,3.69,25484,Action,Paramount Pictures,305.0,0.9159159159159159
89,Indiana Jones and the Last Crusade,127,48.0,474.171806,3.98,39725,Action,Paramount Pictures,426.171806,0.898770868717572
90,Beverly Hills Cop,105,15.0,316.360478,3.56,12618,Action,Paramount Pictures,301.360478,0.9525857335441249
90,Beverly Hills Cop,105,15.0,316.360478,3.56,12618,Comedy,Paramount Pictures,301.360478,0.9525857335441249
96,Beverly Hills Cop II,100,20.0,299.965036,3.09,4989,Action,Paramount Pictures,279.965036,0.9333255626499083
96,Beverly Hills Cop II,100,20.0,299.965036,3.09,4989,Comedy,Paramount Pictures,279.965036,0.9333255626499083
97,Tron,96,17.0,33.0,3.31,12010,Action,Walt Disney Pictures,16.0,0.48484848484848486
97,Tron,96,17.0,33.0,3.31,12010,Science Fiction,Walt Disney Pictures,16.0,0.48484848484848486
98,Gladiator,155,103.0,457.640427,3.95,45413,Action,DreamWorks SKG,354.640427,0.774932471164747
98,Gladiator,155,103.0,457.640427,3.95,45413,Drama,DreamWorks SKG,354.640427,0.774932471164747
117,The Untouchables,119,25.0,76.270454,3.88,17628,Drama,Paramount Pictures,51.270454,0.6722190745055746
117,The Untouchables,119,25.0,76.270454,3.88,17628,History,Paramount Pictures,51.270454,0.6722190745055746
118,Charlie and the Chocolate Factory,115,150.0,474.968763,3.23,11606,Comedy,Warner Bros.,324.968763,0.6841897579694098
120,The Lord of the Rings: The Fellowship of the Ring,178,93.0,871.368364,4.1,56827,Action,New Line Cinema,778.368364,0.8932713145872255
121,The Lord of the Rings: The Two Towers,179,79.0,926.2874,4.08,51882,Action,New Line Cinema,847.2874,0.9147132952472419
122,The Lord of the Rings: The Return of the King,201,94.0,1118.888979,4.11,51837,Action,New Line Cinema,1024.888979,0.9159880901820913
150,48 Hrs.,96,12.0,78.868508,3.49,4466,Action,Paramount Pictures,66.868508,0.8478480155856378
150,48 Hrs.,96,12.0,78.868508,3.49,4466,Comedy,Paramount Pictures,66.868508,0.8478480155856378
150,48 Hrs.,96,12.0,78.868508,3.49,4466,Drama,Paramount Pictures,66.868508,0.8478480155856378
152,Star Trek: The Motion Picture,132,35.0,139.0,3.09,11545,Science Fiction,Paramount Pictures,104.0,0.7482014388489209
154,Star Trek II: The Wrath of Khan,113,12.0,96.8,3.68,17650,Action,Paramount Pictures,84.8,0.8760330578512396
154,Star Trek II: The Wrath of Khan,113,12.0,96.8,3.68,17650,Science Fiction,Paramount Pictures,84.8,0.8760330578512396
155,The Dark Knight,152,185.0,1004.558444,4.18,39600,Action,Warner Bros.,819.558444,0.8158394853928479
155,The Dark Knight,152,185.0,1004.558444,4.18,39600,Drama,Warner Bros.,819.558444,0.8158394853928479
157,Star Trek III: The Search for Spock,105,18.0,87.0,3.23,12497,Action,Paramount Pictures,69.0,0.7931034482758621
157,Star Trek III: The Search for Spock,105,18.0,87.0,3.23,12497,Science Fiction,Paramount Pictures,69.0,0.7931034482758621
164,Breakfast at Tiffany's,110,2.5,9.5,3.8200000000000003,12378,Romance,Paramount Pictures,7.0,0.7368421052631579
164,Breakfast at Tiffany's,110,2.5,9.5,3.8200000000000003,12378,Comedy,Paramount Pictures,7.0,0.7368421052631579
164,Breakfast at Tiffany's,110,2.5,9.5,3.8200000000000003,12378,Drama,Paramount Pictures,7.0,0.7368421052631579
168,Star Trek IV: The Voyage Home,119,24.0,133.0,3.46,15170,Science Fiction,Paramount Pictures,109.0,0.8195488721804511
172,Star Trek V: The Final Frontier,107,30.0,70.2,2.87,8772,Action,Paramount Pictures,40.2,0.5726495726495726
172,Star Trek V: The Final Frontier,107,30.0,70.2,2.87,8772,Science Fiction,Paramount Pictures,40.2,0.5726495726495726
174,Star Trek VI: The Undiscovered Country,113,27.0,96.9,3.3,12439,Action,Paramount Pictures,69.9,0.7213622291021672
174,Star Trek VI: The Undiscovered Country,113,27.0,96.9,3.3,12439,Science Fiction,Paramount Pictures,69.9,0.7213622291021672
180,Minority Report,145,102.0,358.372926,3.67,31209,Action,DreamWorks SKG,256.372926,0.7153802851725468
180,Minority Report,145,102.0,358.372926,3.67,31209,Science Fiction,DreamWorks SKG,256.372926,0.7153802851725468
185,A Clockwork Orange,136,2.2,26.589,3.98,30704,Science Fiction,Warner Bros.,24.389,0.9172590168866824
185,A Clockwork Orange,136,2.2,26.589,3.98,30704,Drama,Warner Bros.,24.389,0.9172590168866824
193,Star Trek: Generations,118,38.0,120.0,3.34,29770,Action,Paramount Pictures,82.0,0.6833333333333333
193,Star Trek: Generations,118,38.0,120.0,3.34,29770,Science Fiction,Paramount Pictures,82.0,0.6833333333333333
194,Amélie,122,10.0,173.921954,4.13,34430,Romance,Canal+,163.921954,0.9425029458903158
194,Amélie,122,10.0,173.921954,4.13,34430,Comedy,Canal+,163.921954,0.9425029458903158
199,Star Trek: First Contact,111,46.0,150.0,3.67,22018,Action,Paramount Pictures,104.0,0.6933333333333334
199,Star Trek: First Contact,111,46.0,150.0,3.67,22018,Science Fiction,Paramount Pictures,104.0,0.6933333333333334
200,Star Trek: Insurrection,103,70.0,118.0,3.19,9912,Action,Paramount Pictures,48.0,0.4067796610169492
200,Star Trek: Insurrection,103,70.0,118.0,3.19,9912,Science Fiction,Paramount Pictures,48.0,0.4067796610169492
201,Star Trek: Nemesis,117,60.0,67.312826,3.13,4100,Action,Paramount Pictures,7.312826000000001,0.10863941442601148
201,Star Trek: Nemesis,117,60.0,67.312826,3.13,4100,Science Fiction,Paramount Pictures,7.312826000000001,0.10863941442601148
217,Indiana Jones and the Kingdom of the Crystal Skull,122,185.0,786.636033,2.92,7329,Action,Paramount Pictures,601.636033,0.7648213503588641
227,The Outsiders,91,10.0,33.697647,3.6,3936,Drama,Warner Bros.,23.697647000000003,0.7032433748267349
231,Syriana,128,50.0,94.0,3.55,3679,Drama,Warner Bros.,44.0,0.46808510638297873
238,The Godfather,175,6.0,245.066411,4.34,57070,Drama,Paramount Pictures,239.066411,0.9755168406167257
240,The Godfather: Part II,200,13.0,47.542841,4.26,36679,Drama,Paramount Pictures,34.542841,0.7265624071561058
241,Natural Born Killers,119,34.0,50.282766,3.25,25898,Drama,Warner Bros.,16.282766000000002,0.32382399170324083
242,The Godfather: Part III,162,54.0,136.766062,3.45,13075,Drama,Paramount Pictures,82.766062,0.6051652053855291
251,Ghost,127,22.0,505.0,3.45,31605,Romance,Paramount Pictures,483.0,0.9564356435643564
251,Ghost,127,22.0,505.0,3.45,31605,Drama,Paramount Pictures,483.0,0.9564356435643564
268,Batman,126,35.0,411.348924,3.38,53717,Action,Warner Bros.,376.348924,0.9149140839857891
272,Batman Begins,140,150.0,374.218673,3.94,29051,Action,Warner Bros.,224.21867300000002,0.5991648444544615
272,Batman Begins,140,150.0,374.218673,3.94,29051,Drama,Warner Bros.,224.21867300000002,0.5991648444544615
278,The Shawshank Redemption,142,25.0,28.341469,4.43,91082,Drama,Warner Bros.,3.341469,0.11790034595595592
279,Amadeus,160,18.0,51.973029,4.06,23144,Drama,Warner Bros.,33.973029,0.6536665199944378
279,Amadeus,160,18.0,51.973029,4.06,23144,History,Warner Bros.,33.973029,0.6536665199944378
280,Terminator 2: Judgment Day,137,100.0,520.0,3.94,61836,Action,Lightstorm Entertainment,420.0,0.8076923076923077
280,Terminator 2: Judgment Day,137,100.0,520.0,3.94,61836,Science Fiction,Lightstorm Entertainment,420.0,0.8076923076923077
280,Terminator 2: Judgment Day,137,100.0,520.0,3.94,61836,Action,Canal+,420.0,0.8076923076923077
280,Terminator 2: Judgment Day,137,100.0,520.0,3.94,61836,Science Fiction,Canal+,420.0,0.8076923076923077
281,Strange Days,145,42.0,7.959291,3.42,9821,Science Fiction,Lightstorm Entertainment,-34.040709,-4.276851920604486
281,Strange Days,145,42.0,7.959291,3.42,9821,Drama,Lightstorm Entertainment,-34.040709,-4.276851920604486
285,Pirates of the Caribbean: At World's End,169,300.0,961.0,3.41,10325,Action,Walt Disney Pictures,661.0,0.6878251821019771
296,Terminator 3: Rise of the Machines,109,200.0,435.0,3.07,11502,Action,Warner Bros.,235.0,0.5402298850574713
296,Terminator 3: Rise of the Machines,109,200.0,435.0,3.07,11502,Science Fiction,Warner Bros.,235.0,0.5402298850574713
300,The Science of Sleep,105,6.0,9.52434,3.75,2731,Comedy,Canal+,3.5243400000000005,0.3700350890455402
300,The Science of Sleep,105,6.0,9.52434,3.75,2731,Drama,Canal+,3.5243400000000005,0.3700350890455402
306,Beverly Hills Cop III,104,50.0,119.208989,2.76,16232,Action,Paramount Pictures,69.208989,0.580568542528282
306,Beverly Hills Cop III,104,50.0,119.208989,2.76,16232,Comedy,Paramount Pictures,69.208989,0.580568542528282
314,Catwoman,104,100.0,82.102379,1.8599999999999999,2124,Action,Warner Bros.,-17.897621,-0.2179915030233168
319,True Romance,120,12.5,12.281551,3.8,17040,Action,Warner Bros.,-0.21844899999999967,-0.017786759994727022
319,True Romance,120,12.5,12.281551,3.8,17040,Romance,Warner Bros.,-0.21844899999999967,-0.017786759994727022
322,Mystic River,138,25.0,156.82202,3.83,11386,Drama,Warner Bros.,131.82202,0.8405836119187854
326,Snakes on a Plane,105,33.0,62.022014,2.54,2361,Action,New Line Cinema,29.022014,0.46793085435761567
326,Snakes on a Plane,105,33.0,62.022014,2.54,2361,Horror,New Line Cinema,29.022014,0.46793085435761567
334,Magnolia,188,37.0,48.451803,3.86,13722,Drama,New Line Cinema,11.451802999999998,0.23635452740530624
345,Eyes Wide Shut,159,65.0,162.091208,3.23,17944,Drama,Warner Bros.,97.091208,0.5989912050010757
364,Batman Returns,126,80.0,280.0,3.12,14695,Action,Warner Bros.,200.0,0.7142857142857143
377,A Nightmare on Elm Street,91,1.8,25.504513,3.26,9286,Horror,New Line Cinema,23.704513,0.9294242552288687
403,Driving Miss Daisy,99,7.5,145.793296,3.68,10004,Comedy,Warner Bros.,138.293296,0.9485573054058672
403,Driving Miss Daisy,99,7.5,145.793296,3.68,10004,Drama,Warner Bros.,138.293296,0.9485573054058672
414,Batman Forever,121,100.0,336.529144,2.91,38187,Action,Warner Bros.,236.52914399999997,0.7028489158133656
415,Batman & Robin,125,125.0,238.207122,2.2,11174,Action,Warner Bros.,113.207122,0.47524658813517756
423,The Pianist,150,35.0,120.072577,4.05,16561,War,Canal+,85.072577,0.7085096291387166
423,The Pianist,150,35.0,120.072577,4.05,16561,Drama,Canal+,85.072577,0.7085096291387166
453,A Beautiful Mind,135,60.0,313.542341,3.96,31130,Romance,DreamWorks SKG,253.54234100000002,0.8086382853153475
453,A Beautiful Mind,135,60.0,313.542341,3.96,31130,Drama,DreamWorks SKG,253.54234100000002,0.8086382853153475
479,Shaft,99,46.0,107.196498,2.98,4967,Action,Paramount Pictures,61.196498000000005,0.5708815039834604
497,The Green Mile,189,60.0,284.6,4.02,30348,Drama,Warner Bros.,224.60000000000002,0.7891777933942375
503,Poseidon,99,160.0,181.674817,2.68,1060,Action,Warner Bros.,21.67481699999999,0.11930556671484079
503,Poseidon,99,160.0,181.674817,2.68,1060,Drama,Warner Bros.,21.67481699999999,0.11930556671484079
